ProjectID,AgreementNumber,Stage,InitialEnrollmentStatus,ProjectType,LeadSource,LeadSourceOther,CboName,ReasonForOptOut,ReasonForIneligibility,BuildingType,SelectApplicableOtherResidentialAccomodationTypes,CaliforniaRegion,StreetNumber,StreetName,UnitNameOrNumber,City,ZipCode,CountyNorthern,CountyCentral,CountySouthern,CensusTract,AssemblyDistrict,SenateDistrict,CaliforniaClimateZone,DisadvantagedCommunity,Within12MileOfADisadvantagedCommunity,LowIncomeCommunity,OwnerOccupied,FirstNameOwner,LastNameOwner,CompanyOwner,PhoneOwner,EmailOwner,ProjectStatusDate,NumberOfOccupantsInHousehold,FirstNameOccupant,LastNameOccupant,PhoneOccupant,EmailOccupant,CurrentMonthlyRent,ElectricBillPaidBy,GasBillPaidBy,IncomeVerificationMethodology,IncomeVerificationMethodologyOther,HouseholdIncomeCategory,CategoricalEligibility,CategoricalEligibilityOther,ElectricUtilityNorthern,GasUtilityNorthern,ElectricUtilityCentral,GasUtilityCentral,ElectricUtilitySouthern,GasUtilitySouthern
N-AA-258212,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 1,,Duplex (2 Units),Farmworker housing;Condominium,Northern,50th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 13,Test Owner Last,Test Company,1112223345,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258213,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 2,,Duplex (2 Units),Farmworker housing;Condominium,Northern,51st street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 14,Test Owner Last,Test Company,1112223346,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258214,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 3,,Duplex (2 Units),Farmworker housing;Condominium,Northern,52nd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 15,Test Owner Last,Test Company,1112223347,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258215,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 4,,Duplex (2 Units),Farmworker housing;Condominium,Northern,53rd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 16,Test Owner Last,Test Company,1112223348,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258216,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 5,,Duplex (2 Units),Farmworker housing;Condominium,Northern,54th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 17,Test Owner Last,Test Company,1112223349,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258217,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 6,,Duplex (2 Units),Farmworker housing;Condominium,Northern,55th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 18,Test Owner Last,Test Company,1112223350,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258218,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 7,,Duplex (2 Units),Farmworker housing;Condominium,Northern,56th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 19,Test Owner Last,Test Company,1112223351,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258219,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 8,,Duplex (2 Units),Farmworker housing;Condominium,Northern,57th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 20,Test Owner Last,Test Company,1112223352,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258220,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 9,,Duplex (2 Units),Farmworker housing;Condominium,Northern,58th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 21,Test Owner Last,Test Company,1112223353,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258221,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 10,,Duplex (2 Units),Farmworker housing;Condominium,Northern,59th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 22,Test Owner Last,Test Company,1112223354,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258222,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 11,,Duplex (2 Units),Farmworker housing;Condominium,Northern,60th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 23,Test Owner Last,Test Company,1112223355,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258223,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 12,,Duplex (2 Units),Farmworker housing;Condominium,Northern,61st street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 24,Test Owner Last,Test Company,1112223356,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258224,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 13,,Duplex (2 Units),Farmworker housing;Condominium,Northern,62nd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 25,Test Owner Last,Test Company,1112223357,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258225,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 14,,Duplex (2 Units),Farmworker housing;Condominium,Northern,63rd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 26,Test Owner Last,Test Company,1112223358,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258226,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 15,,Duplex (2 Units),Farmworker housing;Condominium,Northern,64th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 27,Test Owner Last,Test Company,1112223359,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258227,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 16,,Duplex (2 Units),Farmworker housing;Condominium,Northern,65th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 28,Test Owner Last,Test Company,1112223360,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258228,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 17,,Duplex (2 Units),Farmworker housing;Condominium,Northern,66th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 29,Test Owner Last,Test Company,1112223361,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258229,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 18,,Duplex (2 Units),Farmworker housing;Condominium,Northern,67th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 30,Test Owner Last,Test Company,1112223362,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258230,EBD-25-000,Initial Enrollment,Opt out,Single Family,CBO Direct Outreach,,Test CBO Name,Test Opt 19,,Duplex (2 Units),Farmworker housing;Condominium,Northern,68th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 31,Test Owner Last,Test Company,1112223363,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258231,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,69th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 32,Test Owner Last,Test Company,1112223364,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258232,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,70th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 33,Test Owner Last,Test Company,1112223365,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258233,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,71st street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 34,Test Owner Last,Test Company,1112223366,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258234,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,72nd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 35,Test Owner Last,Test Company,1112223367,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258235,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,73rd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 36,Test Owner Last,Test Company,1112223368,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258236,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,74th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 37,Test Owner Last,Test Company,1112223369,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258237,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,75th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 38,Test Owner Last,Test Company,1112223370,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258238,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,76th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 39,Test Owner Last,Test Company,1112223371,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258239,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,77th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 40,Test Owner Last,Test Company,1112223372,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258240,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,78th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 41,Test Owner Last,Test Company,1112223373,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258241,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,79th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 42,Test Owner Last,Test Company,1112223374,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258242,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,80th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 43,Test Owner Last,Test Company,1112223375,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258243,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,81st street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 44,Test Owner Last,Test Company,1112223376,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258244,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,82nd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 45,Test Owner Last,Test Company,1112223377,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258245,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,83rd street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 46,Test Owner Last,Test Company,1112223378,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258246,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,84th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 47,Test Owner Last,Test Company,1112223379,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258247,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,85th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 48,Test Owner Last,Test Company,1112223380,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258248,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,86th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 49,Test Owner Last,Test Company,1112223381,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258249,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,87th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 50,Test Owner Last,Test Company,1112223382,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258250,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,88th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 51,Test Owner Last,Test Company,1112223383,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258251,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,89th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 52,Test Owner Last,Test Company,1112223384,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
N-AA-258252,EBD-25-000,Initial Enrollment,Complete,Single Family,CBO Direct Outreach,,Test CBO Name,,,Duplex (2 Units),Farmworker housing;Condominium,Northern,90th street,San Diago,5,Santa,56985,Sacramento,,,500000,40,20,12,No,No,Yes,TRUE, Test Owner 53,Test Owner Last,Test Company,1112223385,test@gmail.com,3/15/2025,10,,,,,,Owner,Owner,Pay stub,,Very low-income (31% to 50% AMI),,,Roseville Electric Utility,City of Palo Alto Utilities,,,,
